geoid,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
06037650605,64661,4449,2755,298,1370,63,1147,38,107,65585,5223,2959,254,1298,89,1329,94,126,90167,22900,3026,230,1406,81,1260,141,115,80625,24018,3064,251,1317,116,1325,171,114
06037650701,102708,19032,2394,188,1513,12,688,92,85,109125,15497,2445,139,1586,8,676,53,117,108958,10814,2478,174,1458,27,781,129,78,107500,12305,2529,153,1583,30,781,92,43
06037650702,113214,12995,4732,181,3064,56,1244,96,260,121891,14237,4941,233,3138,43,1216,79,453,124781,17438,4815,285,3102,12,1196,70,421,127429,16299,4731,320,3047,14,1052,60,558
06037650800,75495,13493,6729,565,1575,119,4590,0,445,80461,18596,6684,459,1727,33,4428,0,496,85607,11776,6550,526,1936,37,4215,42,320,89420,12914,6423,501,1853,116,3994,154,306
06037650901,64033,8519,6147,492,4145,55,1241,325,310,70931,7198,6175,519,3961,171,1269,298,400,77621,9322,5436,494,2897,181,1568,340,367,85025,8249,5366,577,2983,141,1254,451,536
06037650902,83457,6356,6350,600,2902,291,1846,703,363,84839,8403,6240,544,2635,210,2000,586,558,92645,8532,6776,682,2702,191,2344,486,779,90857,13268,6769,554,2444,245,2580,682,771
06037651001,90744,5048,6191,422,3261,138,1571,638,564,93048,5442,5923,367,2811,151,1714,750,480,96066,8005,5574,369,2468,114,1459,953,486,96101,14610,5444,453,2406,74,1388,1084,354
06037651002,83525,8854,5014,301,2318,172,1856,424,226,83390,8722,4931,299,2237,207,1830,346,252,87229,9934,4845,289,2128,212,1849,280,312,89507,22070,4702,303,2188,241,1643,209,322
06037651101,86769,10546,5191,299,2622,38,2063,189,255,93160,7705,5414,325,2526,46,2382,222,216,96010,8229,5229,309,2372,42,2478,137,184,99750,12135,5036,393,2056,47,2491,148,183
06037651102,61531,10497,3964,245,2233,116,1170,161,265,62303,12413,3827,221,2142,120,1210,128,214,67292,16097,3656,210,1914,118,1206,212,206,77350,12429,3534,248,1823,63,1224,225,199
