Station ID,Station,Latitude,Longitude,Municipality,publiclyExposed,# of Docks
C32042,Washington St at Bradlee St,42.29791808,-71.07271846,Boston,1,15
D32029,Washington St at Brock St,42.34895285,-71.16031677,Boston,1,15
A32037,Washington St at Egremont Rd,42.34286835,-71.14127841,Boston,1,15
C32005,Washington St at Lenox St,42.33509899,-71.07903779,Boston,1,15
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,1,15
S32021,Washington St at Myrtle St,42.38169983,-71.08377589,Somerville,1,15
C32006,Washington St at Rutland St,42.3385146,-71.07404083,Boston,1,23
C32038,Washington St at Talbot Ave,42.290333,-71.071806,Boston,1,17
D32002,Washington St at Waltham St,42.341522,-71.068922,Boston,1,15
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Boston,1,15
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Boston,1,14
D32040,Williams St at Washington St,42.306539,-71.107669,Boston,1,19
S32005,Wilson Square,42.385582,-71.113341,Somerville,1,15
