geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48029121119,71836,13960,6723,1249,5445,160,414,204,490
48029121120,73902,15758,4764,761,3224,373,28,300,834
48029121121,112368,13804,3652,972,2854,184,265,47,302
48029121122,95225,4376,5475,526,4286,317,95,375,395
48029121123,51069,11897,5336,1509,4506,330,161,73,258
48029121124,108468,46246,3166,476,2575,51,67,0,308
48029121203,43188,13110,4473,553,3179,167,136,686,305
48029121204,38662,6166,7878,1251,4462,1694,329,492,824
48029121205,43623,8632,4261,564,3127,548,147,374,33
48029121206,58006,12335,8461,1588,6835,378,279,370,599
48029121300,69500,12402,6693,748,4668,950,392,208,344
48029121402,65357,14670,8916,2299,4421,1483,494,874,1617
48029121403,42526,6966,5307,570,2502,1753,289,434,284
48029121404,23319,7542,5232,811,3118,1517,106,193,284
48029121501,80348,11111,8967,986,5230,1554,421,131,1437
48029121504,61484,7561,7106,1271,3885,1955,202,257,746
48029121505,57853,6383,4638,615,3303,719,103,202,247
48029121506,53711,8768,3922,585,2636,638,8,414,223
48029121507,65714,11937,4537,803,2892,864,125,62,536
48029121508,43750,10530,3536,493,2078,717,93,244,207
48029121601,48220,9532,5210,596,3642,655,128,420,365
48029121604,60723,15461,8912,1103,6111,1090,136,404,1105
48029121605,61467,12081,2041,380,1536,122,87,71,212
48029121606,56080,9034,4203,653,2898,421,148,137,599
48029121701,70304,11343,5551,907,3580,383,129,888,571
48029121702,69175,4156,7641,1117,5580,765,708,172,416
48029121802,63769,9128,9712,1749,5860,1791,204,1363,424
48029121803,70101,10703,4998,699,4203,345,30,162,234
48029121804,53763,9390,6399,958,5108,450,68,293,480
48029121808,76336,10310,3196,379,2658,161,28,178,171
48029121809,74205,9035,5227,721,3997,228,206,216,571
48029121810,87736,27533,4789,697,3489,242,43,504,466
48029121811,73208,13615,5804,702,4250,378,259,154,763
48029121812,71154,18951,6682,963,5282,482,57,221,600
48029121813,73125,12644,1677,312,1363,79,0,67,166
48029121903,100652,27758,5951,643,4369,681,294,260,327
48029121904,117277,14570,2827,326,2323,73,287,80,64
48029121905,98391,20438,5354,761,4264,187,318,137,448
48029121906,84167,7987,6746,1133,4824,196,147,538,1039
48029121908,131364,32114,2513,317,2190,27,12,65,202
48029121909,93078,13840,9627,898,4309,3115,458,845,880
48029121910,90799,21304,6859,1321,5020,453,578,407,401
48029121911,114241,19549,6272,649,4927,464,101,276,504
48029121912,74279,10088,6638,1291,4940,464,211,25,884
48029130200,37917,10872,1904,805,701,132,14,422,583
48029130300,33148,11454,2860,570,1066,502,8,1217,67
48029130401,40635,9560,4132,963,2687,407,4,889,137
48029130402,25042,7126,3969,629,1851,784,0,1052,282
48029130500,25047,2664,4384,581,2114,1199,13,702,325
48029130600,29137,3279,4420,824,2144,1009,0,638,629
48029130700,17115,5045,2503,420,1122,609,0,515,257
48029130800,26332,5962,6154,1107,1607,3538,39,533,297
48029130900,36176,6807,5437,838,1976,2138,127,747,449
48029131000,31333,2675,5514,1001,2350,2775,33,282,72
48029131100,32500,8021,2917,761,999,983,0,915,16
48029131200,28420,6108,2607,544,1440,854,12,187,80
48029131300,41291,13025,6633,1162,3090,1457,58,1254,745
48029131401,68232,8408,11664,1791,8063,1723,190,594,1079
48029131402,52379,14274,3118,555,1652,969,9,264,216
48029131503,39302,9434,3156,571,1991,281,168,286,430
48029131504,51776,8033,4731,668,3123,331,35,275,905
48029131505,63462,9657,5944,1470,2301,2433,16,859,290
48029131506,54063,6760,4093,500,2243,897,144,300,423
48029131507,47473,11119,6084,889,3706,1027,92,558,701
48029131601,92183,15062,5355,616,3145,1098,131,329,652
48029131606,82625,13101,6432,1102,3568,1353,119,767,625
48029131608,53313,15051,6822,1032,3445,2001,158,536,611
48029131609,70700,10779,7056,1011,3215,2448,582,425,337
48029131610,69909,6691,4293,531,2411,1214,11,280,298
48029131612,77917,5857,1596,201,1075,409,27,16,69
48029131614,55970,7935,4161,741,1622,1603,92,224,609
48029131615,63497,6075,9235,1801,4211,2922,57,455,1554
48029131616,74531,10796,5167,844,2839,1119,173,348,662
48029131700,104375,13901,1190,238,937,79,51,8,110
48029131801,91583,18723,2422,335,2223,29,0,97,52
48029131802,67412,13907,4638,733,3667,203,27,238,376
48029140100,53281,10567,1441,390,1028,10,5,372,26
48029140200,29773,14680,2867,389,2520,58,0,229,49
48029140300,25938,10601,3280,521,1707,38,36,1147,176
48029140400,40979,7816,3534,701,2452,21,0,797,264
48029140500,46553,13274,4196,1033,3112,25,58,893,84
48029140600,46875,11345,3367,727,2123,56,19,951,154
48029140700,39189,8727,4937,961,3002,154,0,638,1113
48029140800,44511,6123,5374,978,3451,108,29,1506,280
48029140900,39574,11038,1976,356,1582,19,0,265,110
48029141000,30919,4422,3553,482,2314,379,0,516,274
48029141101,23199,4743,3989,686,3250,328,0,214,137
48029141102,29103,17108,3880,930,2581,166,0,779,354
48029141200,45724,11691,7607,1418,5433,101,39,1808,226
48029141300,41541,13080,7251,1146,4860,1106,0,631,638
48029141402,72394,11002,5849,754,4499,275,522,239,308
48029141403,47614,16893,4673,632,3296,185,113,547,532
48029141404,39655,12876,5224,660,4128,380,37,182,490
48029141600,71569,9644,5014,771,3798,85,6,873,233
48029141700,69049,9968,5911,1083,4251,751,0,575,212
48029141800,48240,8114,3880,556,3006,28,11,265,563
48029141900,63051,17995,4216,1152,3057,173,0,168,789
48029150100,42454,12800,5876,1190,3818,37,19,991,995
48029150300,43458,7677,4378,653,2831,75,31,1176,221
48029150400,32476,10435,4808,895,3787,24,1,258,678
48029150501,46310,10615,4766,966,3565,16,0,408,690
48029150502,39357,7453,3479,605,2705,15,0,479,238
48029150600,36250,8336,4792,810,3958,0,0,184,643
48029150700,35614,11933,6887,1011,5655,22,15,827,255
48029150800,18062,4151,2633,468,2136,25,0,137,320
48029150900,41771,10260,7987,1467,6242,54,0,1367,324
48029151000,39219,13644,3810,793,3385,39,0,303,83
48029151100,40282,7890,8445,1989,5611,383,0,1105,1346
48029151200,48058,14093,11647,1625,9095,120,153,1432,586
48029151301,47888,10420,5858,697,4816,1,1,563,430
48029151302,41313,13142,4052,555,3408,6,0,533,105
48029151400,44632,15547,5706,886,4397,66,0,818,262
48029151500,38917,5851,2583,344,1742,77,13,314,203
