"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"7968","674","596","242","7304","668","0","16","29","40","0","16","18","28","21","27","0","16","21","27","1400000US17031700501","Census Tract 7005.01, Cook County, Illinois"
"3121","418","118","67","2898","422","0","11","0","11","0","11","95","147","10","22","0","11","10","22","1400000US17031700502","Census Tract 7005.02, Cook County, Illinois"
"1377","294","69","109","1308","266","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031710100","Census Tract 7101, Cook County, Illinois"
"6279","636","76","70","6123","639","0","16","25","36","0","16","0","16","55","78","0","16","55","78","1400000US17031710200","Census Tract 7102, Cook County, Illinois"
"1546","322","0","11","1546","322","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031710300","Census Tract 7103, Cook County, Illinois"
"5214","640","37","39","5050","619","27","42","0","16","0","16","0","16","100","80","25","32","75","72","1400000US17031710400","Census Tract 7104, Cook County, Illinois"
"4330","418","15","24","4163","453","0","11","0","11","0","11","0","11","152","181","0","11","152","181","1400000US17031710500","Census Tract 7105, Cook County, Illinois"
"1847","284","0","11","1847","284","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031710600","Census Tract 7106, Cook County, Illinois"
"2682","390","13","19","2571","402","0","11","72","108","0","11","26","41","0","11","0","11","0","11","1400000US17031710700","Census Tract 7107, Cook County, Illinois"
"4783","732","35","59","4585","764","59","90","0","11","0","11","0","11","104","101","104","101","0","11","1400000US17031710800","Census Tract 7108, Cook County, Illinois"
"2619","316","10","14","2590","317","0","11","0","11","0","11","0","11","19","22","0","11","19","22","1400000US17031710900","Census Tract 7109, Cook County, Illinois"
"3485","485","21","32","3447","489","0","11","7","11","0","11","0","11","10","16","0","11","10","16","1400000US17031711000","Census Tract 7110, Cook County, Illinois"
"3320","495","0","11","3320","495","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031711100","Census Tract 7111, Cook County, Illinois"
"5057","496","15","24","5030","497","0","16","12","25","0","16","0","16","0","16","0","16","0","16","1400000US17031711200","Census Tract 7112, Cook County, Illinois"
