"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2200","194","1694","191","429","147","5","8","0","10","0","10","0","10","72","68","0","10","72","68","1400000US42003180700","Census Tract 1807, Allegheny County, Pennsylvania"
"1857","268","1766","239","46","47","0","10","0","10","0","10","0","10","45","55","0","10","45","55","1400000US42003190300","Census Tract 1903, Allegheny County, Pennsylvania"
"2581","256","2398","218","41","56","0","10","106","80","0","10","0","10","36","49","0","10","36","49","1400000US42003191100","Census Tract 1911, Allegheny County, Pennsylvania"
"2736","227","2394","241","274","153","7","11","20","24","0","10","0","10","41","34","0","10","41","34","1400000US42003191400","Census Tract 1914, Allegheny County, Pennsylvania"
"1885","290","1653","250","129","146","0","10","59","65","0","10","0","10","44","34","0","10","44","34","1400000US42003191500","Census Tract 1915, Allegheny County, Pennsylvania"
"4378","348","3374","346","708","210","0","10","152","156","0","10","0","10","144","163","0","10","144","163","1400000US42003191600","Census Tract 1916, Allegheny County, Pennsylvania"
"3732","329","3196","329","283","143","13","11","79","82","0","10","18","21","143","101","7","11","136","100","1400000US42003191700","Census Tract 1917, Allegheny County, Pennsylvania"
"5278","349","4719","421","112","99","0","14","214","207","0","14","30","51","203","183","84","141","119","116","1400000US42003191800","Census Tract 1918, Allegheny County, Pennsylvania"
"1904","167","1523","185","211","136","8","11","57","52","0","10","0","10","105","73","0","10","105","73","1400000US42003191900","Census Tract 1919, Allegheny County, Pennsylvania"
"3785","311","3074","313","424","145","9","14","67","75","0","10","40","62","171","95","0","10","171","95","1400000US42003192000","Census Tract 1920, Allegheny County, Pennsylvania"
"2923","381","1501","241","1116","448","0","10","169","105","0","10","0","10","137","104","0","10","137","104","1400000US42003202200","Census Tract 2022, Allegheny County, Pennsylvania"
"3876","327","3107","351","258","144","26","29","393","294","0","10","0","10","92","76","0","10","92","76","1400000US42003202300","Census Tract 2023, Allegheny County, Pennsylvania"
"2072","257","584","165","1448","234","0","10","6","11","0","10","0","10","34","28","0","10","34","28","1400000US42003210700","Census Tract 2107, Allegheny County, Pennsylvania"
"1636","150","1041","118","474","105","11","11","57","54","0","10","0","10","53","31","0","10","53","31","1400000US42003220600","Census Tract 2206, Allegheny County, Pennsylvania"
"2222","240","1743","259","311","59","0","10","81","65","0","10","0","10","87","80","0","10","87","80","1400000US42003240600","Census Tract 2406, Allegheny County, Pennsylvania"
"823","90","653","118","104","60","0","10","0","10","0","10","0","10","66","44","32","45","34","31","1400000US42003241200","Census Tract 2412, Allegheny County, Pennsylvania"
"1320","219","562","154","623","192","0","10","0","10","0","10","129","170","6","8","0","10","6","8","1400000US42003250300","Census Tract 2503, Allegheny County, Pennsylvania"
"712","138","155","60","510","130","0","10","19","26","0","10","17","23","11","14","7","12","4","6","1400000US42003250700","Census Tract 2507, Allegheny County, Pennsylvania"
"1149","154","456","72","637","134","3","5","0","10","0","10","19","22","34","35","0","10","34","35","1400000US42003250900","Census Tract 2509, Allegheny County, Pennsylvania"
"2072","164","1487","136","526","115","3","6","0","10","0","10","7","10","49","41","6","8","43","39","1400000US42003260200","Census Tract 2602, Allegheny County, Pennsylvania"
"1696","214","975","153","597","175","0","10","0","10","0","10","6","10","118","94","76","99","42","32","1400000US42003260700","Census Tract 2607, Allegheny County, Pennsylvania"
"1440","291","67","53","1308","292","0","10","0","10","0","10","0","10","65","68","0","10","65","68","1400000US42003260900","Census Tract 2609, Allegheny County, Pennsylvania"
"1129","90","1020","112","99","71","0","10","0","10","0","10","0","10","10","15","0","10","10","15","1400000US42003261200","Census Tract 2612, Allegheny County, Pennsylvania"
"1903","248","460","154","1417","310","0","10","8","18","0","10","0","10","18","23","0","10","18","23","1400000US42003261400","Census Tract 2614, Allegheny County, Pennsylvania"
"1478","218","682","219","719","150","3","7","6","9","0","10","23","35","45","34","0","10","45","34","1400000US42003261500","Census Tract 2615, Allegheny County, Pennsylvania"
"2579","374","1603","222","858","352","0","10","92","130","0","10","7","12","19","24","0","10","19","24","1400000US42003262000","Census Tract 2620, Allegheny County, Pennsylvania"
"2451","299","1947","238","405","176","4","6","10","15","0","10","14","24","71","58","0","10","71","58","1400000US42003270100","Census Tract 2701, Allegheny County, Pennsylvania"
"2002","202","1251","162","635","117","0","10","0","10","0","10","0","10","116","67","0","10","116","67","1400000US42003270300","Census Tract 2703, Allegheny County, Pennsylvania"
"996","94","597","80","349","75","0","10","0","10","0","10","0","10","50","37","5","8","45","37","1400000US42003270400","Census Tract 2704, Allegheny County, Pennsylvania"
"2506","284","1961","230","440","129","9","15","25","31","0","10","0","10","71","65","0","10","71","65","1400000US42003270800","Census Tract 2708, Allegheny County, Pennsylvania"
"2705","407","1557","235","891","274","0","10","0","10","0","10","49","69","208","199","4","7","204","199","1400000US42003271500","Census Tract 2715, Allegheny County, Pennsylvania"
"2546","249","1223","119","1100","219","0","10","29","44","16","24","84","74","94","70","28","41","66","57","1400000US42003281400","Census Tract 2814, Allegheny County, Pennsylvania"
"1381","110","1124","119","192","118","0","10","16","25","0","10","15","13","34","34","0","10","34","34","1400000US42003281500","Census Tract 2815, Allegheny County, Pennsylvania"
"2066","155","1526","172","384","150","5","8","102","109","0","10","0","10","49","62","0","10","49","62","1400000US42003290100","Census Tract 2901, Allegheny County, Pennsylvania"
"3903","422","3110","298","443","262","3","6","143","103","0","10","0","10","204","151","0","10","204","151","1400000US42003290200","Census Tract 2902, Allegheny County, Pennsylvania"
"3969","345","2905","332","786","390","9","14","32","44","52","77","44","46","141","104","0","10","141","104","1400000US42003290400","Census Tract 2904, Allegheny County, Pennsylvania"
"4210","422","1249","224","2413","517","0","10","301","356","0","10","23","36","224","135","0","10","224","135","1400000US42003300100","Census Tract 3001, Allegheny County, Pennsylvania"
"3588","390","3588","390","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","1400000US42003310200","Census Tract 3102, Allegheny County, Pennsylvania"
"986","100","895","101","58","53","0","10","0","10","0","10","0","10","33","41","0","10","33","41","1400000US42003310300","Census Tract 3103, Allegheny County, Pennsylvania"
"2114","241","1955","219","93","83","0","10","6","10","0","10","0","10","60","48","10","14","50","49","1400000US42003320400","Census Tract 3204, Allegheny County, Pennsylvania"
"2188","142","1908","170","89","46","0","10","6","11","0","10","0","10","185","151","0","10","185","151","1400000US42003320600","Census Tract 3206, Allegheny County, Pennsylvania"
"1436","137","1337","158","28","33","0","10","67","98","0","10","0","10","4","8","0","10","4","8","1400000US42003320700","Census Tract 3207, Allegheny County, Pennsylvania"
"4669","270","4436","290","114","119","0","10","67","111","0","10","0","10","52","75","0","10","52","75","1400000US42003401100","Census Tract 4011, Allegheny County, Pennsylvania"
"2967","264","2813","291","26","29","14","17","6","9","0","10","46","41","62","94","0","10","62","94","1400000US42003401200","Census Tract 4012, Allegheny County, Pennsylvania"
"2822","190","2610","166","50","50","0","10","20","24","0","10","1","3","141","128","0","10","141","128","1400000US42003401300","Census Tract 4013, Allegheny County, Pennsylvania"
"3220","23","2984","126","169","111","0","10","14","21","0","10","0","10","53","49","0","10","53","49","1400000US42003402000","Census Tract 4020, Allegheny County, Pennsylvania"
"4481","16","3924","281","414","268","0","10","0","10","0","10","0","10","143","117","0","10","143","117","1400000US42003403500","Census Tract 4035, Allegheny County, Pennsylvania"
"1407","93","1364","90","28","33","0","10","0","10","0","10","0","10","15","14","5","7","10","12","1400000US42003404000","Census Tract 4040, Allegheny County, Pennsylvania"
"1084","96","1073","96","0","10","1","4","7","7","0","10","0","10","3","4","0","10","3","4","1400000US42003405000","Census Tract 4050, Allegheny County, Pennsylvania"
"2366","130","2304","128","13","20","0","10","18","19","6","9","0","10","25","37","0","10","25","37","1400000US42003406000","Census Tract 4060, Allegheny County, Pennsylvania"
"5098","243","5017","257","2","4","0","14","0","14","0","14","0","14","79","94","0","14","79","94","1400000US42003407001","Census Tract 4070.01, Allegheny County, Pennsylvania"
"6802","240","6741","249","28","19","0","14","0","14","0","14","0","14","33","38","7","14","26","35","1400000US42003407002","Census Tract 4070.02, Allegheny County, Pennsylvania"
"5301","244","5082","279","2","3","0","14","161","132","0","14","0","14","56","84","0","14","56","84","1400000US42003408001","Census Tract 4080.01, Allegheny County, Pennsylvania"
"6188","247","5765","414","185","185","0","14","184","217","0","14","37","59","17","26","0","14","17","26","1400000US42003408002","Census Tract 4080.02, Allegheny County, Pennsylvania"
