,id,name,lat,lon,first,last,rides
324,4570,Sepulveda & Venice,34.01376,-118.417801,2020-12-01,2022-03-31,1754
325,4555,Venice & Inglewood,34.005871,-118.429161,2020-12-03,2022-03-31,1328
326,4557,Venice & Sawtelle,34.011799,-118.419441,2020-12-03,2022-03-31,497
327,4573,Westwood & National,34.030472,-118.420982,2020-12-04,2022-03-31,448
328,4559,Palms & Kelton,34.021992,-118.416496,2020-12-04,2022-03-31,368
329,4569,Palms & Motor,34.02655,-118.408463,2020-12-04,2022-03-31,771
330,4566,Venice & Hughes,34.023392,-118.399223,2020-12-08,2022-03-31,1656
331,4536,Venice & Abbot Kinney,33.989079,-118.462257,2020-12-11,2022-03-31,1130
332,4549,Barrington & National,34.022449,-118.438332,2020-12-12,2022-03-31,758
333,4577,Inglewood & Braddock,33.993019,-118.414909,2020-12-13,2022-03-31,479
334,4553,Venice & Beethoven,33.99958,-118.44136,2021-01-15,2022-03-31,1166
335,4562,Sepulveda & National,34.02697,-118.428207,2021-01-15,2022-03-31,637
336,4561,Sepulveda & Palms,34.020061,-118.422684,2021-01-16,2022-03-31,658
337,4486,Vista Hermosa Park,34.06126,-118.258598,2021-02-03,2022-03-31,1197
338,4548,Durango & Venice,34.026829,-118.393517,2021-02-03,2022-03-31,1301
339,4581,Playa Vista Library,33.970242,-118.426071,2021-02-06,2022-03-31,1558
340,4547,Stanford & Washington,33.9897,-118.448883,2021-03-05,2022-03-31,1008
341,4521,Inglewood & Ballona,33.990318,-118.412048,2021-03-05,2022-03-31,464
342,4575,Lucerne & Sepulveda,34.000309,-118.402527,2021-03-18,2022-03-31,617
343,4565,Alla & Maxella,33.989948,-118.434669,2021-03-21,2022-03-31,538
344,4255,Seabluff & Runway,33.97366,-118.422859,2021-03-26,2022-03-31,656
345,4492,Westwood/Rancho Park E Line Station,34.036869,-118.425499,2021-05-06,2022-03-31,819
